,Tav,Sièges Corrections_ICI
0,100,99.80485436893204
1,143,96.0
2,310,223.0
3,313,220.0
4,318,131.0
5,319,139.56106690100734
6,31A,141.0
7,31B,141.0
8,320,177.6545501236368
9,321,203.63568281938325
10,32A,158.64385297845374
11,32B,219.421611492817
12,330,350.0
13,332,276.8309939301973
14,333,363.80859796932384
15,340,298.0
16,342,263.0
17,343,285.7249488752556
18,345,257.25
19,346,352.0
20,359,390.5488917861799
21,733,147.33333333333334
22,734,167.74193548387098
23,735,111.0
24,736,125.19974391805378
25,737,143.0
26,738,176.36308306184813
27,73G,122.91916859122402
28,73H,188.5634623992838
29,73W,148.10256410256412
30,744,531.8172043010753
31,752,184.5
32,757,202.0
33,75W,127.08872675923747
34,762,232.03846153846155
35,763,248.38153846153847
36,76W,194.0
37,772,297.0184630738523
38,77W,472.0
39,788,274.0
40,AB6,261.0
41,AR1,112.0
42,AR8,95.03254319003617
43,AT4,49.94964434910241
44,AT5,50.0
45,AT7,70.0
46,BE1,19.0
47,BEH,19.0
48,CR7,71.84469255124147
49,CRJ,50.0
50,CRK,100.0
51,DH4,80.0
52,E70,70.0
53,E75,76.0
54,E90,99.92743764172336
55,E95,121.99428026692088
56,ER4,49.87302052785924
57,F50,50.0
58,IL9,262.0
