,Tav,Cie,Sièges Corrections_ICI
0,100,A5,100.0
1,100,AF,109.0
2,100,TP,97.0
3,143,AF,96.0
4,310,IR,223.0
5,313,S4,220.0
6,318,AF,131.0
7,319,AB,146.50746268656715
8,319,AF,142.0
9,319,AT,148.57142857142858
10,319,AZ,126.0
11,319,BA,126.0
12,319,EZS,156.0
13,319,EZY,156.0
14,319,FV,128.0
15,319,IB,141.0
16,319,KM,135.0
17,319,SS,145.0
18,319,TO,145.0
19,319,TP,132.0
20,319,TU,144.0
21,319,TX,145.0
22,319,VE,122.0
23,319,VY,144.0
24,319,ZI,144.0
25,31A,IB,141.0
26,31B,IB,141.0
27,320,AB,174.0
28,320,AF,178.0
29,320,AH,180.0
30,320,AT,163.65156794425087
31,320,AZ,165.0
32,320,BA,155.0
33,320,BIE,180.0
34,320,DY,180.0
35,320,EZS,182.04333333333332
36,320,EZY,182.11189591876166
37,320,IB,171.0
38,320,JAF,180.0
39,320,KM,162.0
40,320,S4,174.0
41,320,TB,180.0
42,320,TO,172.0
43,320,TP,162.0
44,320,TU,158.0
45,320,TX,150.0
46,320,VE,148.0
47,320,VY,180.0
48,320,XK,180.0
49,320,ZI,174.0
50,321,AB,210.0
51,321,AF,212.0
52,321,AZ,186.0
53,321,IB,174.0
54,321,TP,200.0
55,321,UN,214.0
56,321,VY,220.0
57,32A,EZY,180.0
58,32A,PC,174.0
59,32A,TU,158.0
60,32A,VY,180.0
61,32A,ZI,176.0
62,32B,IB,201.83673469387756
63,32B,UN,184.0
64,32B,VY,220.0
65,330,SS,350.0
66,332,AH,269.0
67,332,CAJ,318.0
68,332,DY,309.6666666666667
69,332,IB,285.43589743589746
70,332,IR,238.0
71,332,SS,305.8857142857143
72,332,TP,230.0
73,332,TU,266.0
74,332,TX,348.29411764705884
75,332,UX,299.0
76,332,ZI,304.0
77,333,BF,376.5824175824176
78,333,CU,335.0
79,333,IB,311.62264150943395
80,333,SS,360.0
81,333,TP,271.0
82,333,TX,366.5
83,333,UX,287.0
84,340,CU,298.0
85,342,IB,263.0
86,343,AF,291.0
87,343,CU,285.0
88,343,IB,260.0
89,343,SS,201.0
90,343,TU,326.42857142857144
91,343,TX,294.0
92,345,DY,237.0
93,345,IB,291.0
94,346,IB,352.0
95,359,BF,411.0
96,359,TX,389.0
97,733,AF,147.0
98,733,DY,148.0
99,733,TO,150.0
100,734,AT,168.0
101,734,DY,166.73684210526315
102,735,AT,111.0
103,736,AH,101.0
104,736,TU,126.0
105,737,UN,143.0
106,738,AB,189.0
107,738,AH,162.0
108,738,AT,182.0
109,738,DY,189.0
110,738,FV,165.0
111,738,PC,189.0
112,738,UN,158.0
113,738,UX,186.0
114,738,XK,189.0
115,738,ZI,186.0
116,73G,AB,148.0
117,73G,AT,120.0
118,73G,UN,128.0
119,73H,AB,189.0
120,73H,AF,189.0
121,73H,AH,162.0
122,73H,AT,183.0
123,73H,D8,189.0
124,73H,DY,189.0
125,73H,FV,167.78021978021977
126,73H,HV,186.0
127,73H,IBK,165.0
128,73H,JAF,189.0
129,73H,PC,189.0
130,73H,SS,188.0204081632653
131,73H,TB,189.0
132,73H,TO,189.0
133,73H,UN,158.0
134,73H,UX,186.0
135,73W,HV,149.0
136,73W,JAF,148.0
137,73W,TB,148.0
138,744,AT,499.0
139,744,PLM,529.0
140,744,SS,533.0
141,744,UN,447.0
142,752,FI,184.5
143,757,ZI,202.0
144,75W,EC,114.0
145,75W,FI,183.0
146,762,AT,237.0
147,762,EC,192.0
148,762,UN,216.0
149,763,AT,269.0
150,763,CU,278.8
151,763,EC,192.03018867924527
152,763,UN,241.0
153,763,ZI,304.0
154,76W,EC,194.0
155,772,AF,296.91078629032256
156,772,DY,323.0
157,772,UN,306.0
158,77W,AF,472.0
159,788,AT,274.0
160,AB6,IR,261.0
161,AR1,TF,112.0
162,AR8,AF,95.0
163,AR8,TF,97.0
164,AR8,WX,95.0
165,AT4,A5,50.0
166,AT4,AF,50.0
167,AT4,CLG,48.0
168,AT4,WX,48.0
169,AT5,A5,50.0
170,AT5,AF,50.0
171,AT7,A5,70.0
172,AT7,AF,70.0
173,AT7,WX,70.0
174,BE1,T7,19.0
175,BEH,T7,19.0
176,BEH,UD,19.0
177,CR7,A5,71.80759702725021
178,CR7,AF,72.0
179,CRJ,A5,50.0
180,CRK,A5,100.0
181,CRK,AF,100.0
182,CRK,XK,100.0
183,DH4,BE,80.0
184,E70,A5,70.0
185,E75,AZ,76.0
186,E90,A5,100.0
187,E90,AT,95.07246376811594
188,E90,AZ,100.0
189,E90,TP,100.0
190,E90,UX,122.0
191,E95,TP,118.0
192,E95,UX,122.0
193,ER4,A5,50.0
194,ER4,T3,50.0
195,ER4,TP,49.0
196,F50,WX,50.0
197,IL9,CU,262.0
